1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,label
203,338,353,234,261,257,315.0,315.0,261.0,346.0,284.0,338.0,361.0,373.0,273.0,438.0,303.0,326.0,255.5,345.2,258.3333333333333,278.96296296296293,308.2307692307692,308.34615384615387,0.0,0.0,0.0,C
319,376,323,311,273,253,342.0,269.0,284.0,338.0,426.0,434.0,342.0,357.0,357.0,288.0,296.0,338.0,319.0,346.0,267.1666666666667,278.53703703703707,309.0,308.56410256410254,0.0,0.0,0.0,C
284,265,307,319,346,361,357.0,276.0,342.0,369.0,353.0,415.0,376.0,365.0,373.0,419.0,369.0,403.0,373.0,346.0,276.0,278.1111111111111,309.7692307692308,308.78205128205127,0.0,0.0,0.0,C
326,284,284,311,192,273,288.0,311.0,361.0,357.0,453.0,453.0,403.0,465.0,376.0,376.0,376.0,442.0,415.0,357.0,284.5,277.68518518518516,310.53846153846155,309.0,0.0,0.0,0.0,C
384,357,303,261,223,207,269.0,292.0,253.0,288.0,353.0,415.0,303.0,284.0,338.0,338.0,326.0,361.0,315.0,284.0,293.0,277.25925925925924,311.3076923076923,309.21794871794873,0.0,0.0,0.0,C
338,307,292,253,223,319,288.0,296.0,269.0,346.0,453.0,415.0,415.0,388.0,365.0,388.0,407.0,403.0,376.0,365.0,301.5,276.8333333333333,312.0769230769231,309.43589743589746,0.0,0.0,0.0,C
203,184,203,273,315,326,292.0,292.0,334.0,442.0,476.0,438.0,442.0,423.0,465.0,346.0,253.0,253.0,246.0,331.2,310.0,276.4074074074074,312.84615384615387,309.65384615384613,0.0,0.0,0.0,C
207,184,223,211,261,242,353.0,315.0,423.0,315.0,411.0,461.0,384.0,342.0,357.0,336.25,276.25,257.0,240.25,297.4,318.5,275.98148148148147,313.61538461538464,309.87179487179486,0.0,0.0,0.0,C
284,311,211,238,226,273,307.0,211.0,238.0,307.0,319.0,407.0,353.0,469.0,265.0,326.5,299.5,261.0,234.5,263.6,327.0,275.55555555555554,314.38461538461536,310.0897435897436,0.0,0.0,0.0,C
338,284,319,238,257,261,288.0,261.0,265.0,323.0,365.0,407.0,373.0,447.5,336.0,316.75,322.75,265.0,228.75,229.8,335.5,275.1296296296296,315.15384615384613,310.3076923076923,0.0,0.0,0.0,C
353,238,273,319,173,211,226.0,269.0,211.0,323.0,311.0,384.0,469.0,426.0,407.0,307.0,346.0,269.0,223.0,196.0,344.0,274.7037037037037,315.9230769230769,310.52564102564105,0.0,0.0,0.0,C
311,276,269,284,296,223,284.0,311.0,326.0,292.0,446.0,446.0,426.0,492.0,465.0,319.0,353.0,223.0,298.0,236.0,352.5,274.27777777777777,316.6923076923077,310.7435897435897,0.0,0.0,0.0,C
346,219,334,284,365,273,392.0,265.0,288.0,223.0,261.0,242.0,219.0,315.0,426.0,403.0,323.0,292.0,373.0,276.0,361.0,273.85185185185185,317.46153846153845,310.96153846153845,0.0,0.0,0.0,C
207,253,234,276,326,357,284.0,319.0,261.0,357.0,265.0,434.0,419.0,492.0,465.0,465.0,392.0,407.0,273.0,346.0,357.0,273.4259259259259,318.2307692307692,311.1794871794872,0.0,0.0,0.0,C
315,388,288,253,276,303,203.0,334.0,315.0,357.0,296.0,323.0,388.0,442.0,423.0,423.0,434.0,426.0,365.0,265.0,353.0,273.0,319.0,311.3974358974359,0.0,0.0,0.0,C
326,315,276,338,346,373,319.0,453.0,407.0,446.0,492.0,461.0,469.0,311.0,342.0,288.0,311.0,395.5,319.0,283.5,348.0,290.1666666666667,317.7083333333333,311.61538461538464,0.0,0.0,0.0,C
357,192,273,142,257,257,334.0,207.0,242.0,284.0,311.0,392.0,357.0,457.0,357.0,376.0,334.0,365.0,273.0,302.0,343.0,307.3333333333333,316.4166666666667,311.8333333333333,0.0,0.0,0.0,C
307,215,261,242,296,296,223.0,311.0,257.0,319.0,365.0,476.0,357.0,319.0,423.0,261.0,284.0,342.0,283.5,320.5,338.0,324.5,315.125,312.05128205128204,0.0,0.0,0.0,C
265,211,192,219,307,242,292.0,353.0,415.0,476.0,446.0,407.0,365.0,283.0,420.3333333333333,270.0,290.3333333333333,319.0,294.0,339.0,333.0,341.6666666666667,313.8333333333333,312.2692307692308,0.0,0.0,0.0,C
446,346,434,369,423,461,353.0,338.0,373.0,442.0,457.0,276.0,234.0,247.0,417.6666666666667,279.0,296.6666666666667,296.0,304.5,357.5,328.0,358.83333333333337,312.5416666666667,312.4871794871795,0.0,0.0,0.0,C
92,115,57,153,84,153,126.0,226.0,176.0,246.0,276.0,296.0,276.0,211.0,415.0,288.0,303.0,273.0,315.0,376.0,323.0,376.0,311.25,312.7051282051282,0.0,0.0,0.0,C
319,353,288,311,257,238,211.0,242.0,223.0,276.0,257.0,365.0,323.0,311.0,303.0,334.0,205.0,207.5,244.0,361.0,319.0,373.1666666666667,309.9583333333333,312.9230769230769,0.0,0.0,0.0,C
253,323,292,334,276,315,234.0,219.0,192.0,173.0,173.0,303.0,226.0,153.0,126.0,153.0,107.0,142.0,173.0,346.0,315.0,370.3333333333333,308.6666666666667,313.14102564102564,0.0,0.0,0.0,C
311,307,303,342,326,419,373.0,373.0,361.0,484.0,484.0,423.0,407.0,326.0,276.0,265.0,392.0,199.5,255.5,309.5,274.5,367.5,307.375,313.35897435897436,0.0,0.0,0.0,C
346,338,265,246,315,288,234.0,265.0,284.0,234.0,226.0,288.0,346.0,284.0,353.0,323.0,403.0,257.0,338.0,273.0,234.0,364.6666666666667,306.0833333333333,313.5769230769231,0.0,0.0,0.0,C
319,242,238,253,323,326,153.0,303.0,307.0,323.0,319.0,326.0,342.0,269.0,303.0,257.0,386.0,336.0,357.0,303.5,295.5,361.8333333333333,304.7916666666667,313.7948717948718,0.0,0.0,0.0,C
388,261,273,319,307,342,342.0,357.0,315.0,303.0,184.0,211.0,311.0,334.0,342.0,369.0,369.0,415.0,376.0,334.0,357.0,359.0,303.5,314.0128205128205,0.0,0.0,0.0,C
196,223,103,176,219,246,288.0,207.0,411.0,388.0,426.0,376.0,403.0,438.0,323.0,265.0,326.0,326.0,350.25,327.8,369.4,356.1666666666667,302.2083333333333,314.2307692307692,0.0,0.0,0.0,C
357,203,184,134,203,238,273.0,319.0,373.0,311.0,346.0,353.0,338.0,384.0,373.0,265.0,296.0,295.5,324.5,321.6,381.8,353.3333333333333,300.9166666666667,314.44871794871796,0.0,0.0,0.0,C
284,253,276,276,265,196,265.0,242.0,284.0,407.0,434.0,365.0,338.0,242.0,326.0,223.0,184.0,265.0,298.75,315.4,394.2,350.5,299.625,314.6666666666667,0.0,0.0,0.0,C
303,273,342,238,269,376,242.0,296.0,365.0,438.0,357.0,388.0,288.0,357.0,292.0,307.0,288.0,353.0,273.0,309.2,406.6,347.6666666666667,298.3333333333333,314.88461538461536,0.0,0.0,0.0,C
265,373,307,223,319,234,323.0,303.0,388.0,296.0,346.0,311.0,307.0,342.0,273.0,326.0,296.0,261.0,315.0,303.0,419.0,344.8333333333333,297.0416666666667,315.1025641025641,0.0,0.0,0.0,C
419,311,273,334,203,276,284.0,246.0,242.0,396.0,288.0,407.0,288.0,384.0,315.0,315.0,261.0,323.0,261.0,369.0,315.0,342.0,295.75,315.3205128205128,0.0,0.0,0.0,C
353,242,284,207,315,261,342.0,188.0,223.0,319.0,269.0,369.0,396.0,334.0,323.0,346.0,253.0,349.5,328.5,301.5,361.0,292.0,294.4583333333333,315.53846153846155,0.0,0.0,0.0,C
261,288,265,323,207,342,215.0,334.0,234.0,361.0,269.0,392.0,288.0,384.0,326.0,361.0,265.0,376.0,396.0,234.0,407.0,242.0,293.1666666666667,315.7564102564103,0.0,0.0,0.0,C
296,203,242,238,315,257,246.0,242.0,342.0,307.0,196.0,392.0,292.0,346.0,265.0,303.0,307.0,288.0,369.0,259.0,372.5,244.75,291.875,315.97435897435895,0.0,0.0,0.0,C
288,276,203,223,203,342,269.0,242.0,319.0,303.0,384.0,296.0,326.0,353.0,346.0,315.0,315.0,303.0,342.0,284.0,338.0,247.5,290.5833333333333,316.1923076923077,0.0,0.0,0.0,C
334,307,342,353,315,196,242.0,165.0,253.0,334.0,384.0,365.0,357.0,319.0,257.0,338.0,276.0,242.0,338.0,293.5,303.5,250.25,289.2916666666667,316.4102564102564,0.0,0.0,0.0,C
261,292,369,276,223,307,261.0,338.0,238.0,373.0,384.0,284.0,338.0,288.0,376.0,303.0,342.0,323.0,334.0,303.0,269.0,253.0,288.0,316.62820512820514,0.0,0.0,0.0,C
